date;amount_sek;currency;original_amount;direction;suggested_account;category_hint;counterparty;description;notes;needs_review;source_file
2026-02-19;-15.10;SEK;-15.10;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02190795628;;NO;monthly_report_202602.xlsx
2026-02-20;378.00;SEK;378.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02200821451 (2 kortköp, payout 375.55);REF=B02200821451 matchar Marginalen B-rad 375.55;NO;monthly_report_202602.xlsx
2026-02-20;-2.45;SEK;-2.45;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02200821451;;NO;monthly_report_202602.xlsx
2026-02-21;1590.00;SEK;1590.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02210847561 (6 kortköp, payout 1579.49);REF=B02210847561 matchar Marginalen B-rad 1579.49;NO;monthly_report_202602.xlsx
2026-02-21;-10.51;SEK;-10.51;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02210847561;;NO;monthly_report_202602.xlsx
2026-02-24;3915.00;SEK;3915.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02240904331 (9 kortköp, payout 3889.36);REF=B02240904331 matchar Marginalen B-rad 3889.36;NO;monthly_report_202602.xlsx
2026-02-24;-25.64;SEK;-25.64;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02240904331;;NO;monthly_report_202602.xlsx
2026-02-27;5152.00;SEK;5152.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02270977337 (10 kortköp, payout 5118.52);REF=B02270977337 matchar Marginalen B-rad 5118.52;NO;monthly_report_202602.xlsx
2026-02-27;-33.48;SEK;-33.48;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02270977337;;NO;monthly_report_202602.xlsx
2026-02-28;1.00;SEK;1.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02281005989 (1 kortköp, payout 0.99);REF=B02281005989 matchar Marginalen B-rad 0.99;NO;monthly_report_202602.xlsx
2026-02-28;-0.01;SEK;-0.01;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02281005989;;NO;monthly_report_202602.xlsx
2026-03-02;847.00;SEK;847.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B03021053599 (2 kortköp, payout 841.50);REF=B03021053599 matchar Marginalen B-rad 841.50;NO;monthly_report_202603.xlsx
2026-03-02;-5.50;SEK;-5.50;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B03021053599;;NO;monthly_report_202603.xlsx
2026-03-05;99.00;SEK;99.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B03051119511 (1 kortköp, payout 98.36);REF=B03051119511 matchar Marginalen B-rad 98.36;NO;monthly_report_202603.xlsx
2026-03-05;-0.64;SEK;-0.64;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B03051119511;;NO;monthly_report_202603.xlsx
2026-03-15;1656.00;SEK;1656.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B03151367841 (14 kortköp, payout 1645.10);REF=B03151367841 matchar Marginalen B-rad 1645.10;NO;monthly_report_202603.xlsx
2026-03-15;-10.90;SEK;-10.90;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B03151367841;;NO;monthly_report_202603.xlsx
2026-03-16;3985.00;SEK;3985.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B03161387133 (9 kortköp, payout 3957.86);REF=B03161387133 matchar Marginalen B-rad 3957.86;NO;monthly_report_202603.xlsx
2026-03-16;-27.14;SEK;-27.14;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B03161387133;;NO;monthly_report_202603.xlsx
2026-03-17;8619.00;SEK;8619.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B03171403665 (26 kortköp, payout 8560.72);REF=B03171403665 matchar Marginalen B-rad 8560.72;NO;monthly_report_202603.xlsx
2026-03-17;-58.28;SEK;-58.28;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B03171403665;;NO;monthly_report_202603.xlsx
2026-03-20;6021.00;SEK;6021.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B03201480621 (16 kortköp, payout 5981.19);REF=B03201480621 matchar Marginalen B-rad 5981.19;NO;monthly_report_202603.xlsx
2026-03-20;-39.81;SEK;-39.81;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B03201480621;;NO;monthly_report_202603.xlsx
2026-03-22;6721.00;SEK;6721.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B03221536484 (33 kortköp, payout 6665.46);REF=B03221536484 matchar Marginalen B-rad 6665.46;NO;monthly_report_202603.xlsx
2026-03-22;-55.54;SEK;-55.54;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B03221536484;;NO;monthly_report_202603.xlsx
2026-03-24;12591.00;SEK;12591.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B03241573073 (17 kortköp, payout 12504.29);REF=B03241573073 matchar Marginalen B-rad 12504.29;NO;monthly_report_202603.xlsx
2026-03-24;-86.71;SEK;-86.71;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B03241573073;;NO;monthly_report_202603.xlsx
2026-03-25;2537.00;SEK;2537.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B03251597946 (7 kortköp, payout 2520.52);REF=B03251597946 matchar Marginalen B-rad 2520.52;NO;monthly_report_202603.xlsx
2026-03-25;-16.48;SEK;-16.48;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B03251597946;;NO;monthly_report_202603.xlsx
2026-03-26;7690.00;SEK;7690.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B03261624898 (14 kortköp, payout 7624.60);REF=B03261624898 matchar Marginalen B-rad 7624.60;NO;monthly_report_202603.xlsx
2026-03-26;-65.40;SEK;-65.40;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B03261624898;;NO;monthly_report_202603.xlsx
2026-03-27;5719.00;SEK;5719.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B03271651166 (11 kortköp, payout 5674.45);REF=B03271651166 matchar Marginalen B-rad 5674.45;NO;monthly_report_202603.xlsx
2026-03-27;-44.55;SEK;-44.55;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B03271651166;;NO;monthly_report_202603.xlsx
2026-03-30;16213.00;SEK;16213.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B03301727484 (32 kortköp, payout 16107.20);REF=B03301727484 matchar Marginalen B-rad 16107.20;NO;monthly_report_202603.xlsx
2026-03-30;-105.80;SEK;-105.80;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B03301727484;;NO;monthly_report_202603.xlsx
