"""Preliminär Verifikationslista""",,,,,
Samis Jackets AB,,,,,
559489-5301,,,,,
"""Utskriftsdatum"": den 8 May 2026 11:20:20",,,,,
,,,,,
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31",,,,,
"""Avser perioden"" 2024-07-01 - 2025-12-31",,,,,
,,,,,
"""Verifikation""","""Datum""","""Beskrivning/Konto""","""Typ""","""Debet""","""Kredit"""
A 121,2024-12-25,meta facebook ads,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,464.60
,,5910 Annonsering,,464.60,
,,,,,
A 122,2024-12-28,meta facebook ads,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,556.00
,,5910 Annonsering,,556.00,
,,,,,
A 123,2024-12-28,meta facebook ads,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,612.00
,,5910 Annonsering,,612.00,
,,,,,
A 124,2024-12-01,hallon tele,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,19.00
,,"2893 Skulder till närstående personer, kortfristig del",,,19.00
,,"2893 Skulder till närstående personer, kortfristig del",,,19.00
,,"2893 Skulder till närstående personer, kortfristig del",,,19.00
,,"2893 Skulder till närstående personer, kortfristig del",,,19.00
,,6212 Mobiltelefon,,95.00,
,,,,,
A 125,2024-12-16,apple.com bill,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,18.00
,,6212 Mobiltelefon,,18.00,
,,,,,
A 126,2024-12-03,(eparkera session 252),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,36.90
,,"5619 Övriga kostnader för personbilar och mc, m.m.",,36.90,
,,,,,
A 127,2024-12-03,Google GSUITE-samisjack (google workspace),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,162.14
,,5910 Annonsering,,162.14,
,,,,,
A 128,2024-11-20,Google GSUITE-samisjack (google workspace),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1000.00
,,5910 Annonsering,,1000.00,
,,,,,
A 129,2024-11-21,SNAP *snap ads,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,112.24
,,"2893 Skulder till närstående personer, kortfristig del",,,18.98
